2024-11-05 18:16:06.251 -03:00 [ERR] Ocorreu uma exceção no aplicativo.
OpenQA.Selenium.WebDriverTimeoutException: Timed out after 10 seconds
   at OpenQA.Selenium.Support.UI.DefaultWait`1.ThrowTimeoutException(String exceptionMessage, Exception lastException)
   at OpenQA.Selenium.Support.UI.DefaultWait`1.Until[TResult](Func`2 condition, CancellationToken token)
   at OpenQA.Selenium.Support.UI.DefaultWait`1.Until[TResult](Func`2 condition)
   at MeuRoboAutomacao.Executor.Execute(String queryValue) in C:\Users\renat\source\repos\testeAEC\MeuRoboAutomacao\Executor.cs:line 64
2024-11-05 18:16:06.349 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.380 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.406 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.435 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.464 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.496 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.526 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.551 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.582 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.617 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.645 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.682 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.731 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.764 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.815 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.855 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.898 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.946 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:06.983 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:07.028 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:07.068 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:07.100 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:07.141 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:16:07.181 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:04.350 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:04.671 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:04.711 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:04.755 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:04.798 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:04.869 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:04.940 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:04.989 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:05.046 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:05.088 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:05.131 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:05.171 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:05.212 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:37:05.258 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:23.902 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:24.146 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:24.294 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:24.774 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:24.965 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:25.353 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:25.981 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:26.254 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:26.802 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:26.950 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:27.106 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:27.531 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:27.713 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:27.802 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:27.897 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:27.964 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:28.126 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:28.363 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:28.907 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:28.993 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:29.064 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:29.130 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:29.581 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:29.691 -03:00 [ERR] Elemento não encontrado
2024-11-05 18:38:29.767 -03:00 [ERR] Elemento não encontrado
